sens,label
are there any eritrean restaurants in town,0
how about chinese food,0
i would like the east part of town,0
could i get the address phone number and postcode of yu garden,0
thank you  that is all the information i needed  bye bye,0
hi im looking for a nice german restaurant,0
how about european yeah ,0
i dont care,1
can i have the address phone number and area for the most expensive one,1
thank you goodbye,1
i am looking for a restaurant in the expensive price range that serves australasian food ,2
id like to find some mediterranean food and need to know their address and phone number,0
thank you,0
i am looking for a moderately priced restaurant,3
turkish food,0
yes please give me the one turkish food restaurants phone number and address please,0
thank you ,0
hi i am looking for a persian restaurant in the west part of town ,0
no thank you  is there a restaurant with italian food,0
great may i have the phone number please,0
thanks good night,0
i dont care about the price range just recommend me a restaurant that serves european food i would also like to get the phone number and directions,1
i dont care about the area  anywhere,1
thank you goodbye,1
can you find me a cheap spanish restaurant ,4
i am looking for a cheap restaurant ,0
can you please give me the address ,0
what is the area,0
thank you good bye ,0
hello im looking for a restaurant that serves moroccan food,0
how about british food,0
could you provide me with price range of cotto  i also need their address and phone  thank you,0
that will do  thank you again,0
hi could you tell me the phone number and address of the nearest mexican restaurant,0
thank you goodbye,0
where can i go for swedish food,0
anywhere will do ,1
how about vietnamese ,1
i need the address and phone number please ,1
no thats it  thank you good bye,1
hi im looking for an expensive restaurant serving english food,2
how about find me a turkish one ,0
great where is it located,0
thank you goodbye,0
hello do you have any restaurant listings that serve creative food,0
how about modern european food,0
moderate price range please can i get a phone number,3
the de luca cucina and bar is located in centre with the phone number of 01223 356666,0
nope thats it thank you,0
im looking for an expensive restaurant in the east part of town,2
i dont care ,1
what is the phone number ,1
i would like a cheap restaurant in the north part of town please,4
is there anything else,0
is there anything else in the cheap price range on the north side of town,0
address and phone number for royal spice yes please ,0
no thats everything thank you goodbye,0
i want to find a restaurant in any area and serves scottish food,1
yes how about modern european food,1
what is the phone number,1
no thank you,1
i need the number to moderately priced restaurants in the south part of town,3
i would like the phone numbers for both please,0
thanks goodbye ,0
i need the address of a gastropub in town,0
doesnt matter,1
moderate please,1
are there any others in that price range,1
hello i am looking for a restaurant that serves gastropub food in any area can you help me ,1
thank you goodbye,1
im looking for a cheap restaurant in the west part of town,4
it doesnt matter,1
yes could i have the phone number for the italian restaurant,0
that is all thank you good bye,0
i would like a european restaurant in the west part of town please,0
phone number and address please,0
thank you goodbye ,0
i want an expensive restaurant that serves creative food,2
do you have north american food,0
whichever you recommend the area doesnt matter,1
just the phone number and postcode please,1
thank you,1
that should do it thanks,1
thank you for calling,1
looking for the phone and type of cuisine for an expensive restaurant on the east side,2
indian,0
no thats perfect thank you,0
hello i am looking for a restaurant in any area that serves danish food ,1
what about international food ,1
i do not have a preference ,1
can i get the phone number and postcode please,1
thank you bye bye,1
hello im looking for a restaurant with cheap prices,4
any of them in the north part of town,0
address please,0
my hero  you have saved the day,0
eritrean food in the uptown area please,0
okay how about portuguese food,0
how about eritrean in centre,0
no thanks anyways ,0
portuguese in centre,0
what is the price range,0
no thank you,0
i am looking for the location and contact numbers for cheap restaurants in the south side of town,4
may i also have the address and postcode of nandos please ,0
may i have the address phone number and postcode for the lucky star also,0
thank you goodbye,0
hello im looking for a place to eat that has fair prices,3
yes thank u goodbye,0
please give me the address and phone number of one that serves cheap but tasty chinese food,4
i would like to find a restaurant in the north part of town ,0
thank you goodbye,0
actually what other options are there in the north part of town relatively inexpensive please,1
im actually looking for moderately priced any cuisine in the north ill need an address and phone number can you help,1
whats good and cheap,4
well how many in the west,0
hmm whats the name of the vietnamese restaurant ,0
is there anything just plain american,0
can i have the phone number and address of thanh binh,0
thank you,0
please provide me with a cheap place to eat south of town  i need to know the full address,4
can i get the address for nandos,0
okay may i have their phone number please,0
that should be all thanks,0
thanks,0
i am looking for african food,0
yes i need the address please,0
thank you goodbye,0
i am looking for a moderately priced restaurant in the west part of town ,3
dont care,1
are there any other restaurants,1
what is the address phone number and postcode,1
no thank you thatll do it,1
thank you goodbye,1
hi im looking for a cheap restaurant on the south part of town,4
nandos is portuguese and the lucky star is chinese food  may i give you more information about either of those,0
no thank you good bye,0
i need the address number and post code of cheap restaurants in the east side of town,4
thank you goodbye,0
i want to find an expensive restaurant serving mediterranean food what is the address and phone number,2
what is their address and phone number ,0
im looking for a cheap restaurant in the west part of town id also like the restaurants phone number,4
vietnamese sounds good could i have the phone number for tanh binh,0
thank you goodbye,0
i would like a moderately priced restaurant in the north part of town,3
what is the phone number and food of one of them,0
thank you goodbye,0
can you recommend a moderately priced restaurant in the south part of town,3
i dont care either one is fine,1
could i have the address and phone number please,1
no that is all i needed  thank you  bye bye,1
i want to find an expensive restaurant ,2
something in the south part of town would be great any cuisine is fine,1
yes please,1
yes please,1
thank you goodbye ,1
hello i am looking for a moderately priced restaurant that serves european food ,3
i dont care,1
can you please give me the address and phone number,1
thank you,1
i would like a hungarian restaurant in the west of town,0
is there any indian food on the west side of town,0
the price range doesnt matter,1
yes but just for one ,1
thank you,1
nope im good thanks again,1
i would like a restaurant that serves malaysian food  my second choice would be korean food  can i have the address and a estimate of the average price of an entre,0
whats the address,0
is it expensive,0
nope that will do it thanks for your help,0
im glad i could be of assistance,0
a cheap restaurant in the south part of town,4
chinese what is the number,0
what is their address ,0
what is the postcode please,0
thank you very much,0
do you have the phone number and address to a cheap restaurant that serves international food,4
interesting name  ill give them a try  thank you goodbye,0
i would like to find an expensive restaurant in the south part of town ,2
i dont care,1
are there any others,1
i would like the phone number and postcode please,1
nope thatll do it thank you very much,1
i want to find a restaurant that serves european food and i dont care about the price range,1
moderate price range please can i also have the address and phone number of the venue ,3
thank you good bye ,0
what is a cheap restaurant in the south part of town,4
is there anything else if not chinese,0
yes can you give me the address,0
no thank you,0
can you find me a moderately priced restaurant in the west ,3
what is the phone number,0
thank you good bye ,0
thank you  good bye ,0
is there a restaurant in the north part of town that has belgian food,0
ok what about chinese food,0
yes moderately priced,3
okay great may i also have their phone number,0
just in case what are the others,0
can i please have the phone numbers for them,0
no thanks youve been a big help bye for now,0
i am looking for an expensive restaurant that serves persian food ,2
how about a restaurant that serves european food,0
the area doesnt matter,1
yes please and the address as well,1
thank you goodbye,1
im looking for an austrian restaurant,0
west,0
how about italian food,0
west part of town,0
great what is the phone number ,0
thank you goodbye,0
goodbye,0
i am looking for the address and phone number of an expensive restaurant serving thai food,2
i dont care ,1
yes please may i have their address and phone number,1
that is all thank you goodbye,1
hello im looking for a restaurant that serves unique and strange food but nothing too expensive,4
ok sounds great did you find anything please let it be moderately priced,3
yes please look for lebanese restaurants,0
do you have any options for spanish food,0
is la raza a spanish restaurant of a moderate price  then please give me the address phone number and postcode,0
yes thats fine  may i have the address phone number and postcode please,0
ok got it thank you so much,0
i need a place to eat in the north area of the city,0
i dont care ,1
in the moderate price range ,1
what is the phone number and address,1
no thank you goodbye,1
cheap restaurant please,4
do you have any serves jamaican food ,0
how about mediterranean,0
yes and the postcode please ,0
no thank you goodbye,0
i want to find a cheap restaurant in the east part of town what is the address and postcode,4
thank you goodbye,0
i am looking for a cheap restaurant that serves eritrean or vietnamese food,4
can i get the phone number,0
thank you,0
hi im looking for a cheap restaurant in the eastern part of town,4
great  can i have the address and phone number,0
thank you very much,0
i am looking for a high end thai restaurant  could you give me that address and postcode please,2
may i have the address and postcode for bangkok city please,0
that is all thank you,0
please give me information on tuscan food ,0
alright what about oriental or asian food,0
i have no preference,1
thats a shame asian oriental food was the last option that i wanted ,1
thats no problem thank you for assisting me,1
hello im looking for a french restaurant,0
are there any other options,0
